Testosterone>20,,Testosterone<20OnlyAfterSixMonths,,Testosterone<20AlreadyBeforeSixMonths,
X,Y,X,Y,X,Y
79,0.5470953919538928,102,0.5066945014711126,112.00000000000003,0.7053322130113244
80,0.5470953919538929,103,0.5066945014711451,113.00000000000003,0.7053322130113244
81,0.5470953919538929,104,0.5066945014711445,114.00000000000003,0.7053322130113244
82,0.5470953919538929,105,0.5066945014711445,115.00000000000003,0.7053322130113244
83,0.5470953919538929,106,0.5066945014711445,116,0.7053322130113244
84,0.5470953919538929,107.00000000000003,0.5066945014711446,117,0.7053322130113244
85,0.547095391953893,108.00000000000003,0.5066945014711445,118,0.7053322130113244
86.00000000000003,0.547095391953893,109.00000000000003,0.5066945014711445,119,0.7053322130113244
87,0.5470953919538929,110.00000000000003,0.5066945014711445,120,0.7053322130113244
88,0.5470953919538929,111.00000000000003,0.5066945014711445,121.00000000000003,0.7053322130113244
,,112.00000000000003,0.5066945014711446,122.00000000000003,0.7053322130113244
,,113.00000000000003,0.5066945014711446,123.00000000000003,0.7053322130113244
,,114.00000000000003,0.5066945014711446,124.00000000000003,0.7053322130113244
,,115.00000000000003,0.5066945014711446,125.00000000000003,0.7053322130113244
,,116,0.5066945014711445,126.00000000000003,0.7053322130113244
,,117,0.5066945014711446,127.00000000000003,0.7053322130113244
,,118,0.5066945014711446,128.00000000000003,0.7053322130113244
,,119,0.5066945014711446,129.00000000000003,0.7053322130113244
,,120,0.5066945014711446,130,0.7053322130113244
,,121.00000000000003,0.5066945014711446,131,0.7053322130113244
,,122.00000000000003,0.5066945014711446,132,0.7053322130113244
,,123.00000000000003,0.5066945014711445,133,0.7053322130113244
,,124.00000000000003,0.5066945014711445,134.00000000000003,0.7053322130113244
,,125.00000000000003,0.5066945014711445,135.00000000000003,0.7053322130113244
,,126.00000000000003,0.5066945014711445,136.00000000000003,0.7053322130113244
,,127.00000000000003,0.5066945014711445,137.00000000000003,0.7053322130113244
,,128.00000000000003,0.5066945014711446,138.00000000000003,0.7053322130113244
,,129.00000000000003,0.506694501471145,139.00000000000003,0.7053322130113244
,,130,0.5066945014711286,140.00000000000003,0.7053322130113244
,,131,0.5066945014713979,141.00000000000003,0.7053322130113244
,,132,0.5066945014800516,142.00000000000003,0.7053322130113244
,,133,0.5066945005949194,143.00000000000003,0.7053322130113251
,,134.00000000000003,0.5066945417562893,144,0.7053322130113051
,,135.00000000000003,0.5066934053064267,145,0.7053322130114109
,,136.00000000000003,0.5066965575608694,146,0.7053322130339434
,,137.00000000000003,0.5081320854734187,147.00000000000003,0.7053322115341165
,,,,148.00000000000003,0.7053322692410335
,,,,149.00000000000003,0.7053311294146996
,,,,150.00000000000003,0.7053101726034092
,,,,151.00000000000003,0.7081274086237441
