Testosterone>25,,Testosterone<=25,
X,Y,X,Y
1870.0000000000005,0.011155488769376776,1870.0000000000005,0.01274913002214495
1880.0000000000005,0.011155488769376776,1880.0000000000005,0.01274913002214495
1890.0000000000005,0.011155488769376776,1890.0000000000005,0.01274913002214495
1900,0.011155488769376776,1900,0.01274913002214495
1910,0.011155488769376776,1910,0.01274913002214495
1920,0.011155488769376776,1920,0.01274913002214495
1930,0.011155488769376776,1930,0.01274913002214495
1940,0.011155488769376776,1940,0.01274913002214495
1950,0.011155488769376776,1950,0.01274913002214495
1960.0000000000005,0.011155488769376776,1960.0000000000005,0.01274913002214495
1970.0000000000005,0.011155488769376776,1970.0000000000005,0.01274913002214495
1980.0000000000005,0.011155488769376776,1980.0000000000005,0.01274913002214495
1990.0000000000005,0.011155488769376776,1990.0000000000005,0.01274913002214495
2000.0000000000005,0.011155488769376776,2000.0000000000005,0.01274913002214495
2010.0000000000005,0.011155488769376776,2010.0000000000005,0.01274913002214495
2020.0000000000005,0.011155488769376776,2020.0000000000005,0.01274913002214495
2030.0000000000005,0.011155488769376776,2030.0000000000005,0.01274913002214495
2040.0000000000005,0.011155488769376776,2040.0000000000005,0.01274913002214495
2050.0000000000005,0.011155488769376776,2050.0000000000005,0.01274913002214495
2060.0000000000005,0.011155488769376776,2060.0000000000005,0.01274913002214495
2070.0000000000005,0.011155488769376776,2070.0000000000005,0.01274913002214495
2080.0000000000005,0.011155488769376554,2080.0000000000005,0.012749130022145838
2090.0000000000005,0.011155488769385435,2090.0000000000005,0.012749130022112531
2100.0000000000005,0.011155488769362565,2100.0000000000005,0.012749130022198685
2110.0000000000005,0.011155488759668541,2110.0000000000005,0.01274913005875633
2120,0.011155489231379878,2120,0.01274912827984287
2130,0.011155480529785766,2130,0.012749161095217287
